,Sr No,Date,StartupName,IndustryVertical,SubVertical,CityLocation,InvestorsName,InvestmentnType,AmountUSD,Remarks
2187,2188,12/23/2015,Shotang.com,B2B eCommerce Marketplace,,Bengaluru,"Exfinity Venture Partners, Unitus Impact Livelihoods Fund",Private Equity,"50,00,000",Series A
2188,2189,12/23/2015,CityFurnish,Furniture and appliances rental platform,,Gurgaon,Jitendra Gupta,Seed Funding,nan,
2189,2190,12/24/2015,Black White Orange,B2B Merchandize platform,,Mumbai,Collaborative Licensing Ventures LLP,Seed Funding,"3,03,000",
2190,2191,12/24/2015,Kolabro,Real Estate focused Tech platform,,Gurgaon,"Umang Kumar, Ruchir Arora & others",Seed Funding,nan,
2191,2192,12/24/2015,Canvera,Photographer Online search & booking platform,,Bengaluru,Info Edge (India) Ltd,Private Equity,"22,00,000",
2192,2193,12/28/2015,Town Essentials,Grocery Delivery platform,,Bengaluru,"Sharad Hegde, Girish Reddy, Siddharth Patil, Shrikant Patil",Seed Funding,"10,00,000",
2193,2194,12/28/2015,Bumper,Mobile Car Servicing appointment app,,Bengaluru,SAIF Partners,Seed Funding,"5,00,000",
2194,2195,12/29/2015,Hotify,New Curation Mobile App,,Bengaluru,Mahavir Pratap Sharma,Seed Funding,"1,50,000",
2195,2196,12/29/2015,MobiKwik,Mobile Wallet,,Gurgaon,"Sequoia Capital, Tree Line Asia, Innoven Capital",Private Equity,"66,00,000",Additional Funding
2196,2197,12/30/2015,Intelligent Interfaces,Interface development platform for Government officials,,Bengaluru,Yuvraj Singh,Seed Funding,nan,Yet to Launch
2197,2198,2/11/2015,Twigly,Online Food Ordering & Delivery platform,,Gurgaon,"Amit Gupta, Sahil Barua, Mukul Singhal, Tracxn Labs",Seed Funding,"2,00,000",
2198,2199,2/11/2015,CityFlo,Bus Aggregation and rental mobile app,,Mumbai,IDG Ventures,Seed Funding,"7,50,000",
2199,2200,3/11/2015,Findyahan,hyperlocal online Services platform,,Noida,Times Group Brand Capital,Private Equity,nan,Bridge funding
2200,2201,3/11/2015,Sabse,WiFi \xe2\x80\x93 first Cloud communication platform,,Mumbai,Ratan Tata,Private Equity,nan,
2201,2202,3/11/2015,Pokkt,Alternate Mobile Monetization platform,,Mumbai,"Segnel Venture, Shinji Kimura, Sundar Chanrai, JAFCO Asia, SingTel\\xe2\\x80\\x99s Innov8, Jungle Ventures, K Ganesh",Private Equity,"50,00,000",Series B
2202,2203,3/11/2015,oibanit,Online Food Ordering Marketplace,,Vadodara,"Varun Ahuja, Anubhav Verma",Seed Funding,"1,50,000",
2203,2204,3/11/2015,Stuffed,Quick Service Restaurant & Online Delivery,,Mumbai,Riqueza Capital,Seed Funding,"3,85,000",Funding happened in Sept 2015
2204,2205,3/11/2015,LoanBaba,Online Loans Marketplace,,Mumbai,,Seed Funding,"3,20,000",
2205,2206,3/11/2015,Deyor Rooms,Budget Hotels Aggregator,,New Delhi,Dheeraj Jain & Others,Seed Funding,"5,00,000",
2206,2207,3/11/2015,Bidgely,Efficient Energy Management platform,,USA/India,"Constellation Technology Ventures (Exelon Corporation), E.ON, RWE, Khosla Ventures",Private Equity,"1,66,00,000",Series B
2207,2208,4/11/2015,Shirsa Labs,Digital Intelligent learning platform,,Mumbai,ah! Ventures,Seed Funding,"2,50,000",
2208,2209,4/11/2015,Paytunes,Voice Call incentivization mobile app,,New Delhi,CIO Angel Network,Seed Funding,nan,
2209,2210,4/11/2015,YourDOST,Online Counselling and psychological support platform,,Gwalior,"Phanindra Sama, Aprameya Radhakrishna, Aneesh Reddy, Neeraj Jawalkar, Sanjay Anandaram, Pavan Ongole, Venk Krishnan",Seed Funding,"4,00,000",
2210,2211,5/11/2015,BookMyBai,Domestic Help Aggregation platform,,Mumbai,Vineel Nalla & Others,Seed Funding,"1,50,000",
2211,2212,5/11/2015,MyIndianStay,Home Stay & room rentals platform,,Goa,Undisclosed Investors,Seed Funding,"2,00,000",
2212,2213,5/11/2015,Bobble,Selfie Mobile App,,New Delhi,SAIF Partners & others,Private Equity,nan,Series A
2213,2214,6/11/2015,RepUp,Online Reputation Management Platform,,Gurgaon,Indian Angel Network,Seed Funding,nan,
2214,2215,6/11/2015,Satvacart,Online Grocery platform,,Gurgaon,Undisclosed HNIs,Private Equity,"18,00,000",Pre-Series A Bridge
2215,2216,6/11/2015,POPxo.com,Online content platform for women,,New Delhi,"IDG Ventures India, Kalaari Capital, 500 Startups",Private Equity,"20,00,000",Series A
2216,2217,6/11/2015,SparesHub,Online Vehicle Spare Parts etailer,,Pune,"Hyderabad Angels, M&S Partners",Seed Funding,"4,60,000",Pre-Series A
2217,2218,6/11/2015,Explara,Event Ticketing platform,,Pune,"Hyderabad Angels, Singapore Angel Network, Ness Wadia",Private Equity,"4,90,000",Pre-Series A
2218,2219,6/11/2015,Soothe Healthcare,affordable Personal Healthcare Products,,Noida,Saina Nehwal,Seed Funding,nan,2nd seed funding
2219,2220,6/11/2015,Yuvi Hospitality,Premium dining Lounges & restaurants,,Gurgaon,Chandralekha Construction Pvt. Ltd.,Private Equity,"1,50,00,000",Series A
2220,2221,9/11/2015,AppVirality,Mobile Growth Hacking\\nPlatform,,Hyderabad,"Rajan Anandan, Mike Galgon, Ravi Gururaj, Ashim Mehra,\\xc2\\xa0 Mohit Saxena, Internet Group, TNN Capital and others",Seed Funding,"5,00,000",Pre-Series A
2221,2222,9/11/2015,iStar Skill Development,Skill Training Startup,,Bengaluru,"Michael & Susan Dell Foundation, Unitus Seed Fund",Private Equity,"15,00,000",Series A
2222,2223,9/11/2015,BigStylist.com,Beauty and Wellness Marketplace,,Mumbai,Info Edge,Private Equity,"10,00,000",Pre-Series A
2223,2224,9/11/2015,Zilingo,Marketplace App for Bangkok,,Bangalore/ Bangkok,"Sequoia India, BEENEXT Ventures, Kunal Shah & Sandeep Tandon",Private Equity,"19,00,000",Series A
2224,2225,9/11/2015,Didi,On-demand Maids Service Provider,,Mumbai,"Jozef Bardik, Leo Wang Sangeeth Ram",Seed Funding,"1,50,000",
2225,2226,9/11/2015,Skoov.com,eCommerce Product Search Engine,,Mumbai,undisclosed investor,Seed Funding,"1,50,000",
2226,2227,10/11/2015,Chefs Basket,Ready to cook packaged Foods,,Mumbai,"SAIF Partners, Haresh Chawla",Private Equity,"60,00,000",Series A
2227,2228,11/11/2015,Gingercrush,Product Customization Platform,,Vadodara,TV Mohandas Pai\\xe2\\x80\\x99s family office,Seed Funding,nan,
2228,2229,11/11/2015,Delight Foods,Branded Food products online sales,,Bengaluru,"Lensbridge Capital, Mape Advisory Group, Fireside Ventures",Private Equity,"6,00,000",Series A
2229,2230,11/11/2015,6Degree,Talent platform for Fashion professionals,,Goa/Hyderabad,"Centre For Incubation & Business Acceleration (CIBA), Goa",Seed Funding,nan,
2230,2231,11/11/2015,RenewBuy,Auto Insurance Online platform,,Gurgaon,Mount Nathan Advisors Pte Ltd,Seed Funding,"5,00,000",
2231,2232,11/11/2015,Grab,Hyperlocal Logistics Service Provider,,Mumbai,Sixth Sense Ventures,Seed Funding,nan,
2232,2233,12/11/2015,Hitwicket,Cricket Management Mobile Game,,Hyderabad,Chennai Angels,Seed Funding,"2,50,000",
2233,2234,11/13/2015,Flashdoor,On Demand Laundry Service platform,,Bengaluru,"Sujeet Kumar, Ankit Nagori, Traxcn Labs",Seed Funding,nan,
2234,2235,11/16/2015,Cashkaro.com,Ecommerce Discount & Cashback coupons platform,,Gurgaon,Kalaari Capital,Private Equity,"37,00,000",Series A
2235,2236,11/16/2015,Absentia,Virtual Reality Headset creator,,Bengaluru,"Astarc Ventures, 50K Ventures & others",Seed Funding,"1,80,000",
2236,2237,11/16/2015,Renowala,Home Improvement Service platform,,Hyderabad,Logtally,Seed Funding,nan,
2237,2238,11/16/2015,TaskBucks,mobile-only tasks marketplace,,New Delhi,Times Internet,Private Equity,"1,50,00,000",Strategic Investment
2238,2239,11/17/2015,CraftsVilla,Women Ethnic Wear\\xc2\\xa0 Online Marketplace,,Mumbai,"Sequoia India, Lightspeed Venture Partners, Nexus Venture Partners, Global Founders Capital, Apoletto",Private Equity,"3,40,00,000",Series C
2239,2240,11/17/2015,Julia Computing,Numerical Computing & Data Science Platform,,Bengaluru,Gordon and Betty Moore Foundation,Seed Funding,"6,00,000",
2240,2241,11/17/2015,StyleTag,Designer fashion Jewellery Marketplace,,Bengaluru,Jitu Virwani,Seed Funding,"75,00,000",
2241,2242,11/17/2015,Smytten,Online Products Discovery Platform,,Gurgaon,"Rimpal Chawla, Anuj Srivastava",Seed Funding,"2,00,000",
2242,2243,11/17/2015,BiBox,Kids Tool kit for Innovation platform,,Bengaluru,Ravi Krishnamurthy,Seed Funding,"5,30,000",
2243,2244,11/17/2015,Convegenius,Mobile Learning Solutions,,Noida / Singapore,Enablers platform,Seed Funding,"3,00,000",
2244,2245,11/18/2015,Ola,Car Aggregator & Retail Mobile App,,Bengaluru,"Baillie Gifford, Falcon Edge Capital, Tiger Global, SoftBank Group, DST Global, Didi Kuaidi",Private Equity,"50,00,00,000",Series F ( More Details Here)
2245,2246,11/18/2015,Goodbox,conversational commerce mobile app,,Bengaluru,Nexus Venture Partners,Private Equity,"25,00,000",Series A
2246,2247,11/18/2015,ScoopWhoop,Viral Content web Platform,,New Delhi,Kalaari Capital,Private Equity,"40,00,000",Series A
2247,2248,11/18/2015,Hipship,Express local delivery platform,,Bengaluru,"Inara Capital , Rishi Khiani",Seed Funding,nan,
2248,2249,11/18/2015,Pickrr,On-Demand Local Logistics provider,,New Delhi,Palaash Ventures,Seed Funding,nan,
2249,2250,11/18/2015,Truelancer,Curated Freelancer Marketplace,,New Delhi,"Blackstone Valley Group, Raghu Vohra, Aditya Dev Sood, Kamal Bansal",Seed Funding,nan,
2250,2251,11/19/2015,AHA Taxis,Online Taxi Rental Platform,,Noida,ah! Ventures,Seed Funding,nan,
2251,2252,11/19/2015,UrbanClap,Mobile Services Marketplace,,Gurgaon,"Bessemer Venture Partner, Accel, SAIF Partners",Private Equity,"2,50,00,000",Series B
2252,2253,11/19/2015,SenseGiz,Smartwatch Maker,,Belgaum,Karnataka Semiconductor Venture Capital firm,Seed Funding,"5,00,000",
2253,2254,11/19/2015,PlaceofOrigin,Online Gourmet Food Marketplace,,Bengaluru,"S.D. Shibulal, Kris Gopalakrishnan, Srinath Batni, Professor Tarun Khanna,\\xc2\\xa0 Ganapathy Venugopal.",Seed Funding,nan,
2254,2255,11/19/2015,Fourseven,Online Jewellery etailer,,New Delhi,Indian Angel Network,Seed Funding,"4,55,000",
2255,2256,11/20/2015,MindTickle,Sales & Productivity Software,,Pune / US,New Enterprise Associates,Private Equity,"1,25,00,000",Series A
2256,2257,11/20/2015,Shopsense,ecommerce related software product platform,,Mumbai,"Kae Capital, Kunal Bahl, Rohit Bansal",Seed Funding,nan,Pre-Series A
2257,2258,11/20/2015,Medinfi,Health-Tech platform,,Bengaluru,"Ram Kumar Kakani, Pradeep K Jaisingh, Sunil T V, Vijay Ghadge, Hemant Kaul, Gurmeet Chahal & Others",Seed Funding,"3,05,000",
2258,2259,11/20/2015,OUWT,Nightlife Discovery Mobile App,,Mumbai,Undisclosed Investors,Seed Funding,"1,50,000",
2259,2260,11/20/2015,HeyPillow,Online Real Estate Marketplace,,Bengaluru,Hampton Capital,Private Equity,"30,00,000",Series A
2260,2261,11/21/2015,Healers At Home,"Home Healthcare Services platform,",,New Delhi,"Daljit Singh, Dr. Pramath Raj Sinha, BVR Mohan Reddy",Seed Funding,nan,
2261,2262,11/21/2015,Caravan Craft,Indian Ethnic Crafts Etailer,,Bengaluru,"Unitus Seed Fund, Bijou Kurien, Narayan Ramachandran",Private Equity,"12,00,000",Series A
2262,2263,11/21/2015,Talkoot,Social platform for traders and investors,,Bengaluru,Undisclosed Investors,Seed Funding,"1,00,000",
2263,2264,11/23/2015,RentoMojo,"Online Furniture, Home Appliances Rental Platform",,Bengaluru,"IDG Ventures India,\\xc2\\xa0 Accel Partners India",Private Equity,"20,00,000",Series A
2264,2265,11/23/2015,Medikoe,Healthcare Services Discovery platform,,Bengaluru,Anil Menon,Seed Funding,"1,00,000",
2265,2266,11/24/2015,Stylofie,Health and Beauty Services Marketplace,,Gurgaon,Swastika,Seed Funding,"2,50,000",
2266,2267,11/24/2015,ServX,Automotive Services platform,,New Delhi,Manish Gupta,Seed Funding,nan,
2267,2268,11/24/2015,Naaptol,Online and TV Shopping Marketplace,,Mumbai,"Mitsui & Co., New Enterprise Associates, Canaan Partners, Silicon Valley Bank",Private Equity,"5,20,00,000",Late Stage
2268,2269,11/24/2015,Crayon Data,Big Data Analytics Platform,,Chennai/ Singapore,Ratan Tata,Private Equity,nan,
2269,2270,11/25/2015,EarlySalary.com,Mobile App based Loan disbursement platform,,Mumbai,Ashok Agarwal,Seed Funding,"15,00,000",
2270,2271,11/25/2015,Tooler,On Demand Laundry Services App,,New Delhi,"Raghu Khanna, Sameer Gupta",Seed Funding,"1,10,000",
2271,2272,11/25/2015,S Chand,Education Content Provider,,New Delhi,IFC Everstone Group,Private Equity,"2,70,00,000",
2272,2273,11/26/2015,Stelae,Content Management Software Solutions,,Chennai,Earlsfield Capital,Private Equity,nan,Pre-Series A
2273,2274,11/26/2015,GoQii,Fitness Tracking Management Solutions,,Mumbai,"New Enterprise Associates, Cheetah Mobile",Private Equity,"1,34,00,000",Series B
2274,2275,11/26/2015,Grofers,Hyper-local Grocery Delivery platform,,Gurgaon,"Softbank, Tiger Global, Sequoia Capital, Apoletto Managers",Private Equity,"12,00,00,000",Late Stage
2275,2276,11/26/2015,Pluss,Hyperlocal healthcare product Delivery Service provider,,Gurgaon,"IDG Ventures, M & S partners, Powerhouse Ventures (USA).",Private Equity,"10,00,000",Pre-Series A
2276,2277,11/26/2015,KountMoney,Online Lending Marketplace,,Bengaluru,"Tracxn, Ashish Goenka & Others",Seed Funding,nan,
2277,2278,11/27/2015,StayGlad,On Demand Beauty Services Platform,,Bengaluru,"Bessemer Venture Partners, Anil Chopra",Private Equity,nan,Series A
2278,2279,11/27/2015,JustRide,Self Driven Rental Car Platform,,Mumbai,,Private Equity,"20,00,000",Pre-Series A bridge round
2279,2280,11/27/2015,Fastudent,Education Content etailer,,Noida,Ashish Gupta,Seed Funding,nan,
2280,2281,11/27/2015,LearnOn,Clud based Learning platform,,Chennai,JMR Infotech India Pvt Ltd,Seed Funding,nan,
2281,2282,11/27/2015,Talentrack,Talent Exchange & Talent Services Marketplace,,New Delhi,Unigrowth Inc,Seed Funding,nan,
2282,2283,11/28/2015,M-TAXI,Two-Wheeler Taxi Service,,Gurgaon,"Mandeep Singh, Jairaj Singh",Seed Funding,nan,
2283,2284,11/30/2015,Baxi,Two-Wheeler Taxi Service,,Gurgaon,"Manish Kheterpal, Alok Mittal,\\xc2\\xa0 Puneet Dalmia,",Seed Funding,"14,50,000",
2284,2285,11/30/2015,Superhero Brands,character merchandize sales platform,,Mumbai,DSG Consumer Partners,Seed Funding,"5,40,000",
2285,2286,11/30/2015,MoMagic,Mobile Application Developer,,New Delhi,FIH Mobile Ltd,Private Equity,nan,Strategic Investment
2286,2287,11/30/2015,QikPod,Ecommerce Delivery locker services,,Bengaluru,"Flipkart, Accel Partners, Delhivery, Foxconn",Private Equity,"90,00,000",Series A
2287,2288,11/30/2015,Butterfly Interactive,extra curricular activities marketplace app,,New Delhi,Undisclosed Investors,Seed Funding,nan,
2288,2289,11/30/2015,Bro4U,Hyperlocal Online Home services provider,,Bengaluru,Sargod Ventures,Seed Funding,nan,
2289,2290,1/10/2015,Indifi,Easy Business Loans platform,,Gurgaon,"Accel Partners, Elevar Equity, Pramod Bhasin, Rajan Anandan, Gaurav Dalmia, Abhishek Goyal, Gagan Hasteer , Arun Tadanki",Seed Funding,nan,
2290,2291,1/10/2015,Wydr,Performance based Wholesale Marketplace,,New Delhi,Sandeep Aggarwal,Seed Funding,nan,
2291,2292,1/10/2015,EasyFix,Professional Services Marketplace,,Gurgaon,Axilor Ventures,Seed Funding,nan,
2292,2293,1/10/2015,Muvizz,Movie-on-demand platform,,Singapore,"Ashish Todi, Abhinav Patodia, Kumar Shwetabh",Seed Funding,"3,50,000",
2293,2294,1/10/2015,Abhibus,us ticketing and fleet management platform,,Hyderabad,Paytm (One97 communications),Private Equity,nan,Strategic Investment
2294,2295,1/10/2015,Cleartax,Online Income Tax Filing platform,,New Delhi,Paytm (One97 communications),Private Equity,nan,
2295,2296,2/10/2015,Shopalyst,Product discovery & recommendation platform,,Bengaluru,Kalaari Capital,Private Equity,"20,00,000",Series A
2296,2297,3/10/2015,Chillr,Mobile Payments App,,Mumbai,Sequoia Capital,Private Equity,"60,00,000",Series A
2297,2298,5/10/2015,Nykaa,Beauty & Wellness Products e-tailer,,Mumbai,"Harsh Mariwala, Atul Nishar, Dalip Pathak, Michael Carlos",Private Equity,"95,00,000",Series B
2298,2299,5/10/2015,Voylla,Fashion jewelry and accessories e-tailer,,Jaipur,Peepul Capital,Private Equity,"1,50,00,000",Series B
2299,2300,5/10/2015,IndiaLends,Online Consumer Lending platform,,New Delhi,"DSG consumer Partners, Paragon Partners",Private Equity,"10,00,000",Pre-Series A Bridge round
2300,2301,5/10/2015,Rock N Shop,Premium Apparel shopping portal,,New Delhi,High Networth Individuals (undisclosed),Seed Funding,"1,50,000",
2301,2302,6/10/2015,DocPlexus,Exclusive Platform for Doctors & Healthcare professionals,,Pune,"Uniqorn ventures, ASP Consulting",Seed Funding,"7,00,000",
2302,2303,6/10/2015,WorkIndia,Job Board,,Mumbai,"Satyen Kothari, Keshav Sanghi, Riddhesh Gandhi & Others",Seed Funding,"5,00,000",Pre-Series A
2303,2304,6/10/2015,SportzVillage,Sports Management & Physical Education Business,,Bengaluru,Gaja Capital Private Equity Fund,Private Equity,"1,00,00,000",Series B
2304,2305,6/10/2015,SportyBeans,multi-sport program for preschoolers,,Pune,YouWeCan Ventures,Seed Funding,nan,
2305,2306,6/10/2015,Burger Singh,QSR & Online delivery portal,,Gurgaon,"Ashvin Chadha, Avtar Monga, Udaan Angels, Dheeraj Jain",Seed Funding,"5,00,000",Bridge Round
2306,2307,6/10/2015,Welcome Cure,Online Homeopathy Clinic,,Mumbai,Unnamed Media house and HNIs,Private Equity,"60,00,000",Pre-Series A
2307,2308,7/10/2015,SchoolGuru,E-Learning Service Provider,,Mumbai,High Networth Individuals from India & USA,Private Equity,"30,00,000",Series A
2308,2309,7/10/2015,Naturally Yours,Organic Food etailer,,Mumbai,Sanjay Mehta,Seed Funding,nan,
2309,2310,7/10/2015,GoJavas,Delivery & Logistics Service provider,,Gurgaon,Snapdeal,Private Equity,"2,00,00,000",Strategic Funding (Series C)
2310,2311,7/10/2015,Scandid,Product Discovery & comparison App,,Pune,Micromax Informatics,Private Equity,nan,Strategic Funding
2311,2312,7/10/2015,StalkBuyLove,Online Apparels Fashion brand,,New Delhi,"Mato Peric, Peter Kabel & others",Private Equity,nan,Series A
2312,2313,8/10/2015,ZuperMeal,Home Cooked Food marketplace & Delivery,,Mumbai,"Sanjeev Kapoor,\\xc2\\xa0 Ravi Saxena & Others",Private Equity,"20,00,000",Series A
2313,2314,8/10/2015,Cube26,Gesture based Mobile Development,,New Delhi,"Tiger Global Management, Flipkart",Private Equity,"77,00,000",Series A
2314,2315,8/10/2015,Mobikon,Hotel Mobile CRM Software platform,,Pune / Singapore,"Life.SREDA, Qualgro",Private Equity,nan,Series B
2315,2316,8/10/2015,Grabhouse,Rental Accommodation Search platform,,Bengaluru,Sequoia and Kalaari Capital.,Private Equity,"1,00,00,000",Series B
2316,2317,8/10/2015,Quifers,Logistics Tech Platform,,Mumbai,"Vikas Agarwal, Vishal Khare, Sanjeev Kakkar, Smile Group",Seed Funding,"3,10,000",
2317,2318,9/10/2015,Stockroom.io,Developer Portfolio Showcase platform,,Hyderabad,Undisclosed Investors,Seed Funding,"70,000",
2318,2319,9/10/2015,Curofy,Doctors Network Mobile App,,New Delhi,RoundGlass Partners,Private Equity,nan,Pre-Series A
2319,2320,9/10/2015,Cloud Lending,End-to-End Lending platform,,Bangalore / San Mateo,SF Capital Group,Private Equity,"80,00,000",Series A
2320,2321,9/10/2015,Inayo,on-demand healthcare marketplace,,Mumbai,"Kemark Ventures, Amit Ranjan, Zishaan Hayath and Others",Seed Funding,"3,00,000",
2321,2322,9/10/2015,WoNoBo,360-degree view creating platform,,Bengaluru,Quikr,Private Equity,nan,Strategic Funding
2322,2323,9/10/2015,Kulzy,Advertising & Marketing Community Networking platform,,New Delhi,"Seedfund, Bedrock Ventures",Seed Funding,"10,00,000",
2323,2324,9/10/2015,Zeppery,Food Ordering & Delivery App,,New Delhi,Suyash Sharma,Seed Funding,"77,000",
2324,2325,12/10/2015,Zify,Ride Sharing platform,,Hyderabad,Sean O\\xe2\\x80\\x99Sullivan & Others,Seed Funding,"1,90,000",
2325,2326,12/10/2015,Faircent,Online P2P lending marketplace,,Gurgaon,Aarin Capital Partners,Private Equity,nan,Series A
2326,2327,12/10/2015,Bizongo,B2B marketplace for industrial goods,,Mumbai,Accel Partners,Seed Funding,nan,
2327,2328,12/10/2015,Gridle,Cloud Based Collaboration platform,,Ahmedabad,LetsVenture,Seed Funding,"1,00,000",
2328,2329,12/10/2015,Tripoto,global community for travellers,,New Delhi,"500 Startups, IDG Ventures & Advantedge fund, Neeraj Arora, Leon Seynave",Private Equity,nan,Series A
2329,2330,12/10/2015,Mubble,Prepaid Bill manager App,,Bengaluru,Accel Partners,Private Equity,nan,Series A
2330,2331,10/13/2015,Voodoo,Mobile Only Shopping Assistant,,New Delhi,SAIF Partners,Seed Funding,"10,00,000",
2331,2332,10/13/2015,Lookup,Mobile Messaging Assistant App,,Bengaluru,"Khosla Impact, Biz Stone, Catamaran Ventures, Global Founders Capital, European investment fund",Private Equity,"25,00,000",Series A
2332,2333,10/14/2015,AskMyGift,Personalized Wish List creator app,,Noida,Turning Ideas,Seed Funding,"50,000",
2333,2334,10/14/2015,Gaana.com,Music Streaming mobile app,,Mumbai,Micromax Informatics Ltd,Private Equity,nan,Strategic Funding
2334,2335,10/14/2015,Zappfresh,Raw Meat & Ready to eat food etailer,,Gurgaon,Undisclosed Investors,Seed Funding,"77,000",
2335,2336,10/14/2015,GymTrekker,Gym Discovery platform,,Mumbai,"Dewang Neralla,Roopak Taneja, Manisha Gupta",Seed Funding,nan,
2336,2337,10/15/2015,Bounty App,Online Purchase rewards app,,Bengaluru,"Fireside Ventures, Mumbai Angels MAPE Advisory Group.",Seed Funding,nan,
2337,2338,10/16/2015,Homers.in,Home rental platform,,Gurgaon,"Devesh Rai G, Rajesh Aggarwal, Amitpal Bhutani",Seed Funding,nan,
2338,2339,10/16/2015,mShipper,Crowdsourced Delivery platform,,New Delhi,Vijai Laxmi,Seed Funding,nan,
2339,2340,10/16/2015,BolRealty,Real Estate Insights platform,,New Delhi,Manpreet Singh,Seed Funding,nan,
2340,2341,10/17/2015,S-Cube Futuretech,Structural & Civil Engg Service Automation,,Mumbai,Parampara Capital,Private Equity,"10,00,000",Series A
2341,2342,10/19/2015,LetsVenture,Startup Funding Marketplace,,Bengaluru,"Accel Partners, Anupam Mittal & other marquee investors",Private Equity,nan,Series A
2342,2343,10/19/2015,Citrus Payment,Payments Solution platform,,Mumbai,"Sequoia Capital, Ascent Capital, eContext Asia, Beenos Asia",Private Equity,"2,50,00,000",Series C
2343,2344,10/19/2015,Holidify,Travel Destination Discovery platform,,New Delhi,Aarti Group,Seed Funding,"1,00,000",
2344,2345,10/20/2015,PrimaSeller,Order Fulfillment SAAS platform,,Bengaluru,"Dr. Aniruddha Malpani Manish Gupta, M&S Partners & others",Seed Funding,nan,
2345,2346,10/20/2015,Opinio,Last Mile Delivery Service,,Bengaluru,"Delhivery, Sands Capital and Accel Partners",Private Equity,"70,00,000",Series A
2346,2347,10/20/2015,Attune Technologies,Healthcare IT Solutions & services,,Chennai,"Qualcomm Venture, Norwest Venture Partners",Private Equity,"1,00,00,000",Series B
2347,2348,10/20/2015,iChef.in,Gourmet Meals Delivery,,Mumbai,Springboard Ventures,Private Equity,nan,
2348,2349,10/21/2015,Jiyo Natural,Healthy Meals Food delivery platform,,Bengaluru,Indian Angel Network,Seed Funding,nan,
2349,2350,10/21/2015,AgentDesks,Real Estate Mobile CRM,,New York/ India,"Sierra Ventures, Cota Capital, Vegas Tech Fund",Seed Funding,"29,50,000",
2350,2351,10/21/2015,White Owl Brewery,Micro-Brewery,,Mumbai,"Arihant Patni, RAAY Global Investments",Private Equity,"15,30,000",Series A
2351,2352,10/21/2015,MealHopper,Home Made Food Marketplace,,Gurgaon,"Alok Bajpai, Rajnish Kumar, Amit Dey",Seed Funding,"1,00,000",
2352,2353,10/21/2015,Zenify.in,residential rental management platform,,Bengaluru,"Atul Jalan, Shrikanth & Bharath",Seed Funding,"6,40,000",
2353,2354,10/21/2015,Stockal,Personalized Stock Intelligence Platform,,Bengaluru,"R Natarajan, Mohan Alexander",Seed Funding,nan,
2354,2355,10/23/2015,Medd,Personal Diagnostic Mobile App,,Mumbai,Group of Angel investors,Seed Funding,"1,50,000",Bridge Round
2355,2356,10/23/2015,Leaping Caravan,Online food ordering & Delivery service,,Gurgaon,Group of Angel investors,Seed Funding,"1,50,000",
2356,2357,10/23/2015,Frsh,Online food ordering & Delivery service,,Gurgaon,"Mumbai Angels, Mayank Bhangdia, Kae Capital",Private Equity,"10,00,000",Bridge Round
2357,2358,10/23/2015,Qik Stay,Hotel Aggregator & booking platform,,New Delhi,ID Enablers Pvt Ltd,Seed Funding,"2,50,000",
2358,2359,10/26/2015,Parcelled,Online Logistics Platform,,Bengaluru,Delhivery,Private Equity,"50,00,000",
2359,2360,10/26/2015,AlmaMapper,Online Student & Campus Social Networking platform,,Ahmedabad,Oswal Techno Ventures LLP,Seed Funding,"4,00,000",
2360,2361,10/26/2015,Flexing It,Professionals & Project Search Marketplace,,New Delhi,undisclosed private investors,Seed Funding,"5,00,000",
2361,2362,10/26/2015,Netmeds.com,Online Pharmacy,,Chennai,"OrbiMed, Pradip Dadha Group",Private Equity,"5,00,00,000",Series A
2362,2363,10/26/2015,Razorpay,Online Payment Gateway,,Jaipur,"Tiger Global Management, Matrix Partners",Private Equity,"90,00,000",Series A
2363,2364,10/27/2015,Jombay,Psychometric Test Online Software,,Pune,Ventureworks India,Private Equity,nan,
2364,2365,10/27/2015,Happitoo,Location based Nightlife recommendation\\xc2\\xa0 Platform,,Mumbai,Unnamed investor,Seed Funding,"77,000",
2365,2366,10/27/2015,Care24,Professional Health Services Platform,,Mumbai,India Quotient,Seed Funding,"3,50,000",
2366,2367,10/27/2015,Roadrunnr,Hyperlocal Logistics Service,,Bengaluru,"Sequoia Capital, Nexus Venture Partners",Private Equity,"1,00,00,000",Series B
2367,2368,10/27/2015,Simpli5d,Online user engagement platform,,Gurgaon,"Redcliffe Capital, YourNest Angel Fund",Private Equity,nan,Bridge Funding
2368,2369,10/28/2015,ORIGA Leasing,Asset Financing platform,,Mumbai,"ah! Ventures, 500 Startups & Other HNIs",Seed Funding,"11,00,000",
2369,2370,10/28/2015,Smartivity.in,Virtual Reality activity based learning platform,,New Delhi,S Chand and Co Pvt Ltd,Seed Funding,"2,00,000",
2370,2371,10/28/2015,UrDoorStep,Online Grocery Store,,Bengaluru,Jupiter Capital,Private Equity,nan,Series A
2371,2372,10/29/2015,Tavaga,Investment management platform,,Mumbai,Tracxn Syndicate,Seed Funding,nan,
2372,2373,10/29/2015,Moglix,Industrial Toons Marketplace,,Noida,"Accel Partner, Jungle Ventures",Private Equity,nan,pre-Series A
2373,2374,10/29/2015,ZopHop,Public Commute helper App,,Mumbai,"Amit Singhal, PK Gulati & others",Seed Funding,"4,50,000",
